design,kind,drc,n_hotspot,wl,changed,offmask
ibex_like,base,270.4714389607576,97,45820.0,,00000000
ibex_like,all_off,302.9448144816813,87,42493.0,"0,1,2,3,4,5,6,7",11111111
ibex_like,single_off,158.2430029799463,61,44735.0,0,10000000
ibex_like,single_off,218.42160602712593,65,44647.0,1,01000000
ibex_like,single_off,212.8677843865148,86,44947.0,2,00100000
ibex_like,single_off,159.42488465703602,54,44329.0,3,00010000
ibex_like,single_off,199.38334261158306,75,45984.0,4,00001000
ibex_like,single_off,162.13116522359047,63,44275.0,5,00000100
ibex_like,single_off,224.11263782393445,79,45431.0,6,00000010
ibex_like,single_off,240.11502140597995,90,46252.0,7,00000001
ibex_like,eco_move,256.2166515627871,85,46450.0,0,00000000
ibex_like,eco_move,244.66727645680396,94,45549.0,0,00000000
ibex_like,eco_move,258.4522752111808,82,46357.0,0,00000000
ibex_like,eco_move,280.180564869078,79,46904.0,0,00000000
ibex_like,eco_move,283.0968864881147,102,46139.0,1,00000000
ibex_like,eco_move,249.81248137191517,87,45707.0,1,00000000
ibex_like,eco_move,297.0134217304127,112,46505.0,1,00000000
ibex_like,eco_move,288.8545039628257,97,45632.0,1,00000000
ibex_like,eco_move,250.86436550071969,98,45623.0,2,00000000
ibex_like,eco_move,269.82015156425064,90,45702.0,2,00000000
ibex_like,eco_move,272.1622206813193,103,45079.0,2,00000000
ibex_like,eco_move,297.2924523861383,100,46271.0,2,00000000
ibex_like,eco_move,200.30773494149344,67,45082.0,3,00000000
ibex_like,eco_move,189.80443524147972,69,44970.0,3,00000000
ibex_like,eco_move,299.6985932161145,109,46283.0,3,00000000
ibex_like,eco_move,186.17266822102323,67,45171.0,3,00000000
ibex_like,eco_move,246.03364027785133,88,45466.0,4,00000000
ibex_like,eco_move,253.24174803258663,88,45983.0,4,00000000
ibex_like,eco_move,254.14603274720258,96,46193.0,4,00000000
ibex_like,eco_move,251.1996728658937,89,45987.0,4,00000000
ibex_like,eco_move,261.5413277858971,110,45845.0,5,00000000
ibex_like,eco_move,224.15632283197164,87,45801.0,5,00000000
ibex_like,eco_move,277.04291950867866,98,45710.0,5,00000000
ibex_like,eco_move,280.2352443476275,96,46677.0,5,00000000
ibex_like,eco_move,262.09587124734594,88,45741.0,6,00000000
ibex_like,eco_move,252.41043436758218,92,46227.0,6,00000000
ibex_like,eco_move,283.90389756887384,98,46853.0,6,00000000
ibex_like,eco_move,276.84188780550517,106,46247.0,6,00000000
ibex_like,eco_move,302.1024436290683,102,45786.0,7,00000000
ibex_like,eco_move,281.3393264427756,100,46084.0,7,00000000
ibex_like,eco_move,282.3299841619041,105,45488.0,7,00000000
ibex_like,eco_move,258.3517234728757,92,46126.0,7,00000000
ibex_like,single_move,211.89393219142602,77,45605.0,0,00000000
ibex_like,single_move,224.21816388068385,83,45792.0,0,00000000
ibex_like,single_move,204.76249580118247,81,46019.0,0,00000000
ibex_like,single_move,209.02925534267416,78,44928.0,0,00000000
ibex_like,single_move,266.9668570120402,91,44591.0,1,00000000
ibex_like,single_move,198.19809510884375,65,44765.0,1,00000000
ibex_like,single_move,168.9147573972977,69,43875.0,1,00000000
ibex_like,single_move,186.66317892540832,71,44559.0,1,00000000
ibex_like,single_move,238.65521500486676,84,45513.0,2,00000000
ibex_like,single_move,176.19133004931274,73,43182.0,2,00000000
ibex_like,single_move,144.26560253562755,56,42782.0,2,00000000
ibex_like,single_move,169.51202817463098,72,42803.0,2,00000000
ibex_like,single_move,151.32204469168406,55,45294.0,3,00000000
ibex_like,single_move,228.56583482757924,92,44371.0,3,00000000
ibex_like,single_move,164.5649816812413,65,45290.0,3,00000000
ibex_like,single_move,180.64921114439994,71,46834.0,3,00000000
ibex_like,single_move,225.51669205431284,81,45774.0,4,00000000
ibex_like,single_move,240.1688265051237,101,46127.0,4,00000000
ibex_like,single_move,240.47218691756302,82,45523.0,4,00000000
ibex_like,single_move,224.56667085164287,79,45423.0,4,00000000
ibex_like,single_move,228.0692468995361,92,46988.0,5,00000000
ibex_like,single_move,285.272716095981,95,46839.0,5,00000000
ibex_like,single_move,221.65093353208403,88,45261.0,5,00000000
ibex_like,single_move,170.1076150462215,67,45538.0,5,00000000
ibex_like,single_move,203.24029281089037,85,44873.0,6,00000000
ibex_like,single_move,196.6631521233828,82,45589.0,6,00000000
ibex_like,single_move,230.5928428806568,84,47053.0,6,00000000
ibex_like,single_move,188.6511026451968,77,44922.0,6,00000000
ibex_like,single_move,247.09334234048097,100,46079.0,7,00000000
ibex_like,single_move,248.5729994265195,102,45946.0,7,00000000
ibex_like,single_move,179.0267271641837,68,43649.0,7,00000000
ibex_like,single_move,190.5571793391062,63,44578.0,7,00000000
ibex_like,coalition_off,124.3196208031602,45,43457.0,"2,4,3",00111000
ibex_like,mixed,133.40828815264894,46,44464.0,"6,1,7,2,4,5",01000011
ibex_like,coalition_jitter,229.9176192703286,79,45632.0,"3,7,0,6",00000000
ibex_like,swap,215.65375121324627,78,44682.0,"7,4",00000000
ibex_like,swap,229.1428552454731,84,45338.0,"7,0",00000000
ibex_like,coalition_off,140.93474624731545,56,43162.0,"2,1,6,7,5,4",01101111
ibex_like,coalition_off,207.29590614380186,74,44785.0,"3,7,0,6,2,4,5",10111111
ibex_like,coalition_off,105.60985322665074,37,42390.0,"0,6,2",10100010
ibex_like,coalition_off,172.9007817851066,65,43925.0,"1,5,4,2,0",11101100
ibex_like,mixed,182.7373554004692,70,42670.0,"0,5,3",10000000
ibex_like,swap,245.63651877695156,89,43402.0,"6,1",00000000
ibex_like,coalition_jitter,269.9643686701751,96,45831.0,"1,7,2,6",00000000
ibex_like,coalition_jitter,196.6609193271288,77,45818.0,"5,3",00000000
ibex_like,coalition_off,143.51399618743773,49,44378.0,"6,0,2,4,3",10111010
ibex_like,mixed,158.2430029799463,61,44735.0,0,10000000
ibex_like,coalition_jitter,280.7506285237747,97,46635.0,6,00000000
ibex_like,coalition_off,138.2957454003921,49,43580.0,"4,6,7,5",00001111
ibex_like,mixed,212.8677843865148,86,44947.0,2,00100000
ibex_like,coalition_jitter,210.84729459248388,78,46329.0,0,00000000
ibex_like,coalition_jitter,241.12065164908702,83,45888.0,"4,0",00000000
ibex_like,coalition_jitter,258.5440291502421,79,46413.0,0,00000000
ibex_like,coalition_off,196.92228224294092,83,44424.0,"2,7",00100001
ibex_like,coalition_off,196.92228224294092,83,44424.0,"7,2",00100001
ibex_like,coalition_off,162.13116522359047,63,44275.0,5,00000100
ibex_like,swap,208.92689728983407,73,44912.0,"6,2",00000000
ibex_like,coalition_off,171.14321593229909,72,43896.0,"5,2,7,6",00100111
ibex_like,coalition_off,162.01362931271507,68,44116.0,"6,0,2,7,3,5",10110111
ibex_like,coalition_off,205.38105951824474,76,44564.0,"1,4,7,0,2,5,6",11101111
ibex_like,mixed,98.12382402950084,37,42150.0,"7,2,3,6,4,5",00110001
ibex_like,coalition_jitter,263.55519432958437,93,47191.0,5,00000000
