method,group,red_A,red_B,wl_A,wl_B,worst,win_rate
Oracle-ranked (ground truth),bound,26.76049025412929,26.76049025412929,-0.8991894998182354,-0.8991894998182354,6.970686749935903,100.0
HP blame,causal,24.642750853594052,24.642750853594052,-0.28233175252426657,-0.28233175252426657,6.970686749935903,100.0
Proximity heuristic,heuristic,24.584286853443196,20.555910413622435,-0.4180695473789802,0.20234883927519393,7.942594417275064,100.0
Counterfactual dDRC,causal,23.96928578676274,23.96928578676274,-1.2808910346917226,-1.2808910346917226,6.970686749935903,100.0
Prob. of necessity,causal,23.8582382949832,23.8582382949832,0.43796856460721245,0.43796856460721245,7.942594417275064,100.0
Pigou externality,economic,23.755749983426774,15.92866046097071,0.8627887128127458,0.33290769396712083,7.942594417275064,100.0
Shapley value,causal,23.019712554227837,23.019712554227837,-0.21463840615224772,-0.21463840615224772,7.942594417275064,100.0
HP responsibility,causal,22.71012364207243,22.71012364207243,0.28786133972731265,0.28786133972731265,7.942594417275064,100.0
Grad-CAM,saliency,21.72573912294861,6.416929937293356,0.5637223445321958,0.9048716593793407,7.942594417275064,100.0
Shadow price,economic,21.38148199014216,13.993513141670464,0.2859172831539246,0.3336371380541622,7.04995093003645,100.0
Input x gradient,saliency,17.398059964096156,17.434009621674235,-0.3034339227479403,-0.07893278293894107,3.370668332143755,100.0
Integrated grads,saliency,17.398059964096156,10.75886629969681,-0.3034339227479403,0.7466484637630862,3.370668332143755,100.0
Random,control,16.12353391430367,11.842976863840342,-0.10078581033701194,0.13330401265771993,9.117834274573713,100.0
